timestamp,emotion,reason
2025-07-12 19:19:04,neutral,Webcam: Calm and composed.
2025-07-12 19:19:04,No_Detection,No hand found in webcam frame
2025-07-12 19:19:04,neutral,Webcam: Calm and composed.
2025-07-12 19:19:04,No_Detection,No hand found in webcam frame
2025-07-12 19:19:05,No_Detection,No hand found in webcam frame
2025-07-12 19:19:05,neutral,Webcam: Calm and composed.
2025-07-12 19:19:05,No_Detection,No hand found in webcam frame
2025-07-12 19:19:06,neutral,Webcam: Calm and composed.
2025-07-12 19:19:06,No_Detection,No hand found in webcam frame
2025-07-12 19:19:06,No_Detection,No hand found in webcam frame
2025-07-12 19:19:07,neutral,Webcam: Calm and composed.
2025-07-12 19:19:07,No_Detection,No hand found in webcam frame
2025-07-12 19:19:08,neutral,Webcam: Calm and composed.
2025-07-12 19:19:08,No_Detection,No hand found in webcam frame
2025-07-12 19:19:08,neutral,Webcam: Calm and composed.
2025-07-12 19:19:08,No_Detection,No hand found in webcam frame
2025-07-12 19:19:09,No_Detection,No hand found in webcam frame
2025-07-12 19:19:09,neutral,Webcam: Calm and composed.
2025-07-12 19:19:09,No_Detection,No hand found in webcam frame
2025-07-12 19:19:10,neutral,Webcam: Calm and composed.
2025-07-12 19:19:10,No_Detection,No hand found in webcam frame
2025-07-12 19:19:10,No_Detection,No hand found in webcam frame
2025-07-12 19:19:11,neutral,Webcam: Calm and composed.
2025-07-12 19:19:11,No_Detection,No hand found in webcam frame
2025-07-12 19:19:11,No_Detection,No hand found in webcam frame
2025-07-12 19:19:12,neutral,Webcam: Calm and composed.
2025-07-12 19:19:12,No_Detection,No hand found in webcam frame
2025-07-12 19:19:13,neutral,Webcam: Calm and composed.
2025-07-12 19:19:13,No_Detection,No hand found in webcam frame
2025-07-12 19:19:13,neutral,Webcam: Calm and composed.
2025-07-12 19:19:13,No_Detection,No hand found in webcam frame
2025-07-12 19:19:14,No_Detection,No hand found in webcam frame
2025-07-12 19:19:14,neutral,Webcam: Calm and composed.
2025-07-12 19:19:14,No_Detection,No hand found in webcam frame
2025-07-12 19:19:15,neutral,Webcam: Calm and composed.
2025-07-12 19:19:15,No_Detection,No hand found in webcam frame
2025-07-12 19:19:15,No_Detection,No hand found in webcam frame
2025-07-12 19:19:16,happy,"Webcam: Positive mood, feeling good."
2025-07-12 19:19:16,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:19:17,happy,"Webcam: Positive mood, feeling good."
2025-07-12 19:19:17,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:19:17,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:19:17,surprise,Webcam: Unexpected event or discovery.
2025-07-12 19:19:18,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:19:18,neutral,Webcam: Calm and composed.
2025-07-12 19:19:18,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:19:19,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:19:19,angry,Webcam: Frustration or irritation detected.
2025-07-12 19:19:19,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:19:20,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:20,angry,Webcam: Frustration or irritation detected.
2025-07-12 19:19:20,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:21,happy,"Webcam: Positive mood, feeling good."
2025-07-12 19:19:21,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:21,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:22,happy,"Webcam: Positive mood, feeling good."
2025-07-12 19:19:22,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:22,happy,"Webcam: Positive mood, feeling good."
2025-07-12 19:19:23,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:23,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:23,happy,"Webcam: Positive mood, feeling good."
